Category	SubCategory	CatID	CatShort	Category_zh	SubCategory_zh	Synonyms_zh
AIR	BLOW	AIRBlow	AIR	气体	吹	稳定的气流、气压释放、释放、吹气、喷射、颤动
AIR	BURST	AIRBrst	AIR	气体	爆发	空气爆炸、空气爆破、噗噗、喷射、气爆
AIR	HISS	AIRHiss	AIR	气体	嘶嘶声	放气、排气、 漏气、排出
AIR	MISC	AIRMisc	AIR	气体	其它	各种各样的、 其他空气声音
AIR	SUCTION	AIRSuck	AIR	气体	抽吸	吸气、 吸入、吸尘器
AIRCRAFT	DOOR	AERODoor	AERO	航空器	门	驾驶舱门、飞机门、舱门、紧急出口
AIRCRAFT	HELICOPTER	AEROHeli	AERO	航空器	直升机	旋翼机、 直升机、
AIRCRAFT	INTERIOR	AEROInt	AERO	航空器	航空舱	飞机、飞机内部录音、复杂环境音、 客机、驾驶舱内部、 滑翔机、 齐柏林飞艇、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车、 波音、 庞巴迪 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380、 战斗机
AIRCRAFT	JET	AEROJet	AERO	航空器	喷气式飞机	客机、 喷气客机、 大型喷气式飞机、 里尔喷气机、 空中客车公司、 波音、 庞巴迪、 737、 747、 777、 A310、 DC-10、 A330、 A350、 A380
AIRCRAFT	MECHANISM	AEROMech	AERO	航空器	机械	起落架、驾驶舱操纵杆、方向舵、襟翼、起落架
AIRCRAFT	MILITARY	AEROMil	AERO	航空器	军用	战斗机、轰炸机、隐形轰炸机、蓝天使特技飞行队、雷鸟、军用无人机、 洛克希德、米格、F18、F16、F35、F22、A10、P52、 军用飞机
AIRCRAFT	MISC	AEROMisc	AERO	航空器	其它	飞艇、 滑翔机、 热气球、 超轻型、 悬挂式滑翔机、 齐柏林飞艇、 飞船、 其他种类的飞机
AIRCRAFT	PROP	AEROProp	AERO	航空器	螺旋桨飞机	双翼飞机、三翼飞机、涡轮螺旋桨飞机、特技飞机、作物喷粉器、农用飞机、螺旋桨、双螺旋桨、螺旋桨喷气发动机、螺旋桨
AIRCRAFT	RADIO CONTROLLED	AERORadio	AERO	航空器	塔台	四轴飞行器、 无人机、 无人驾驶飞行器、 遥控直升机
AIRCRAFT	ROCKET	AERORckt	AERO	航空器	火箭	火箭、 导弹、 喷气背包、 航天飞机、 SpaceX、 美国航空航天局、 洲际导弹、 核火箭、 推进器
ALARMS	BELL	ALRMBell	ALRM	警报	警铃	火铃、校铃、铁路道口铃、 平交道警铃、雪橇铃
ALARMS	BUZZER	ALRMBuzr	ALRM	警报	蜂鸣器	门铃、游戏节目蜂鸣器
ALARMS	CLOCK	ALRMClok	ALRM	警报	钟表	数字闹钟、闹钟
ALARMS	ELECTRONIC	ALRMElec	ALRM	警报	电器	火灾探测器、家庭防盗报警器、 二氧化碳报警器、 报警器系统
ALARMS	MISC	ALRMMisc	ALRM	警报	其它	各种各样的、 其他种类的警报
ALARMS	SIREN	ALRMSirn	ALRM	警报	警报	空袭警报器、汽笛、 车辆鸣笛、 警车警笛、 救护车警笛
AMBIENCE	AIR	AMBAir	AMB	环境	空气	沙漠、冬天、安静的空气、夜间空气、山间空气、房屋外空气
AMBIENCE	ALPINE	AMBAlpn	AMB	环境	高山	山、落基山脉、群山、雪山、山腰、山峰
AMBIENCE	AMUSEMENT	AMBAmus	AMB	环境	娱乐	迪士尼乐园、 主题公园、 游乐园、 嘉年华、 工会、 市集、 旅游博览会、 展览、 儿童乐园
AMBIENCE	BIRDSONG	AMBBird	AMB	环境	鸟鸣	合唱团、鸟鸣、啁啾、鸣叫
AMBIENCE	CELEBRATION	AMBCele	AMB	环境	庆典	公众聚会、活动、派对、晚会、嘉年华
AMBIENCE	CONSTRUCTION	AMBCnst	AMB	环境	施工	道路建设、 建筑、 木工、手提钻、起重机、打桩机、复合施工场景、道路施工
AMBIENCE	DESERT	AMBDsrt	AMB	环境	沙漠	沙漠、风滚草、绿洲、贫瘠、荒地、撒哈拉、干旱、沙丘
AMBIENCE	DESIGNED	AMBDsgn	AMB	环境	设计	人造场景、幻想、科幻、中土、魔幻
AMBIENCE	EMERGENCY	AMBEmrg	AMB	环境	紧急	犯罪现场、消防、警察、医务人员、证据、自然灾害、射击、事故、灾难、伤害、泥石流、 地震、 洪水
AMBIENCE	FANTASY	AMBFant	AMB	环境	奇幻	幻想、科幻、中土世界
AMBIENCE	FARM	AMBFarm	AMB	环境	农场	农场、收获、耕作、牧场、农庄、田庄、种植园、农田、谷仓、牧场、农作物、稻谷、乳制品、葡萄园、畜栏、田园、拖拉机
AMBIENCE	FOREST	AMBForst	AMB	环境	森林	森林、树林、林地、热带雨林、雨林、云雾林、落叶、针叶树、阔叶林
AMBIENCE	GRASSLAND	AMBGras	AMB	环境	草地	草原、农田、草地、草地、放牧、牧场、草甸
AMBIENCE	HISTORICAL	AMBHist	AMB	环境	历史年代	鬼城、 老西部、 淘金热、 古罗马、 古希腊
AMBIENCE	HITECH	AMBTech	AMB	环境	高科技	实验室、机房、服务器、数据中心、控制室、宇宙飞船内部
AMBIENCE	HOSPITAL	AMBHosp	AMB	环境	医院	急诊室、手术室、候诊室、病房、诊所、疗养院、医务室、 兽医医院
AMBIENCE	INDUSTRIAL	AMBInd	AMB	环境	工业	工厂、制造、厂、车间、仓库
AMBIENCE	INSECT	AMBInsc	AMB	环境	昆虫	蝉、 蟋蟀、 昆虫
AMBIENCE	LAKESIDE	AMBLake	AMB	环境	湖岸	湖泊、湖边、水波浪、游泳、水库、池塘、湖泊
AMBIENCE	MARKET	AMBMrkt	AMB	环境	市场	市场、供应商、购物区、集市、交换、跳蚤市场、广场
AMBIENCE	MISC	AMBMisc	AMB	环境	其它	其他种类的环境、 各种各样的
AMBIENCE	NAUTICAL	AMBNaut	AMB	环境	航海	航海、造船厂、船尾甲板、船头、船尾、捕鱼、 航海、远洋、船舱、 深海、 海洋、海事、码头、船坞
AMBIENCE	OFFICE	AMBOffc	AMB	环境	办公室	办公室、隔间、工作场所、部门、车站、分支机构、工作站
AMBIENCE	PARK	AMBPark	AMB	环境	公园	公园、 操场、 花园、 植物园、 城市公园、 郊区公园、 棒球场
AMBIENCE	PRISON	AMBPrisn	AMB	环境	监狱	监狱、 监狱院子、 拘留、 监禁室、 刑罚机构、 禁闭室、 拘留所、 放风场
AMBIENCE	PROTEST	AMBPrtst	AMB	环境	游行	抗议、集会、集会、骚乱、高喊、大喊大叫、尖叫、愤怒的人群、游行、示威、动荡、反抗、革命、愤怒、 怒吼、 口号
AMBIENCE	PUBLIC PLACE	AMBPubl	AMB	环境	公共场所	除餐厅外其他室内或室外公共场所、商店、大堂、酒店、商场、博物馆、公共广场、庭院
AMBIENCE	RELIGIOUS	AMBRlgn	AMB	环境	宗教场所	教堂、寺庙、清真寺、教堂、宗教集会、大教堂、朝圣
AMBIENCE	RESIDENTIAL	AMBHome	AMB	环境	住宅区	房间、 窗外、 室内
AMBIENCE	RESTAURANT & BAR	AMBRest	AMB	环境	餐馆	餐厅、酒吧、酒馆、美食酒吧、餐车、小餐馆、咖啡厅、自助餐厅、食堂、茶室、沙龙、咖啡店、比萨店、快餐店、酒吧、自动售货机、小卖部、夜总会、熟食店、餐馆
AMBIENCE	ROOM TONE	AMBRoom	AMB	环境	房间底噪	房间、寂静、安静的空气、 空荡
